Date,Price,Open,High,Low,Vol.,Change %,Year,Month,MA7,MA30,Daily_Return
2012-07-27,23292.8,23116.6,23297.99,22799.39,0.0,0.76,2012,7,23183.29142857143,22217.151333333335,0.7621792295669616
2012-07-30,23302.22,23292.8,23302.68,23243.66,0.0,0.04,2012,7,23212.435714285715,22292.945666666667,0.04044168154966332
2012-07-31,23061.38,23302.64,23363.33,23021.47,0.0,-1.03,2012,7,23207.588571428572,22358.921333333335,-1.0335495931288907
2012-08-01,23329.34,23061.38,23335.98,23060.97,0.0,1.16,2012,8,23200.20142857143,22419.54233333333,1.1619426070772931
2012-08-02,23488.62,23329.34,23540.72,23323.93,0.0,0.68,2012,8,23245.827142857142,22490.892666666663,0.6827454184301862
2012-08-03,23523.16,23488.79,23521.9,23444.4,0.0,0.15,2012,8,23302.018571428573,22561.839,0.1470499331165609
2012-08-06,23418.66,23523.16,23564.34,23420.06,0.0,-0.44,2012,8,23345.16857142857,22630.553666666667,-0.44424303537450305
2012-08-07,23391.79,23419.59,23459.7,23354.38,0.0,-0.11,2012,8,23359.309999999998,22698.70766666667,-0.11473756397675228
2012-08-08,23166.58,23392.24,23439.73,23157.41,0.0,-0.96,2012,8,23339.932857142856,22751.799,-0.9627736911112739
2012-08-09,23178.87,23166.58,23186.38,23143.37,0.0,0.05,2012,8,23356.717142857146,22806.353333333333,0.05305055817472759
2012-08-10,23239.09,23178.87,23251.77,23158.16,0.0,0.26,2012,8,23343.824285714283,22861.004,0.2598055901776197
2012-08-13,23273.56,23239.03,23317.05,23238.0,0.0,0.15,2012,8,23313.101428571426,22917.733666666667,0.14832766687509213
2012-08-14,23125.32,23273.56,23295.59,23094.6,0.0,-0.64,2012,8,23256.26714285714,22965.559666666664,-0.6369459592774018
2012-08-15,23105.05,23125.71,23146.53,23093.58,0.0,-0.09,2012,8,23211.465714285714,23004.698,-0.08765284112824956
2012-08-16,23066.74,23106.08,23151.02,22991.66,0.0,-0.17,2012,8,23165.030000000002,23038.612666666668,-0.16580790779503474
2012-08-17,23141.08,23066.74,23141.28,23021.17,0.0,0.32,2012,8,23161.38714285714,23072.951666666664,0.32228221239758437
2012-08-22,23199.03,23151.94,23222.9,23136.79,0.0,0.25,2012,8,23164.26714285714,23106.548,0.2504204643862584
2012-08-23,23186.73,23199.03,23217.47,23154.86,0.0,-0.05,2012,8,23156.787142857145,23142.09,-0.053019458141134734
2012-08-24,23399.58,23186.73,23509.85,23169.82,0.0,0.92,2012,8,23174.79,23180.28566666667,0.9179819664092426
2012-08-27,23491.17,23399.58,23491.25,23368.35,0.0,0.39,2012,8,23227.054285714286,23213.559333333335,0.39141728184863833
2012-08-28,23531.63,23490.96,23549.74,23438.43,0.0,0.17,2012,8,23287.99428571429,23239.911666666667,0.17223492912443739
2012-08-29,23670.11,23531.63,23674.89,23510.17,0.0,0.59,2012,8,23374.19,23262.977333333332,0.5884845206218126
2012-08-30,23704.34,23671.93,23750.0,23664.75,0.0,0.14,2012,8,23454.655714285713,23285.146333333334,0.14461276267832002
2012-08-31,23750.82,23704.34,23758.28,23664.72,0.0,0.2,2012,8,23533.48285714286,23300.930333333334,0.1960822364174719
2012-09-03,23864.05,23750.33,23867.54,23735.04,0.0,0.48,2012,9,23630.242857142854,23326.458333333332,0.4767414346115162
2012-09-04,24012.57,23864.85,23875.01,23853.66,0.0,0.62,2012,9,23717.812857142857,23357.033666666666,0.6223587362580885
2012-09-05,24358.62,24012.57,24378.37,23964.59,0.0,1.44,2012,9,23841.734285714283,23389.619333333332,1.4411202132882828
